Landcode;Levensnummer;Werknummer;Geboortedatum;Haarkleur;Geslacht;Landcode_moeder;Levensnummer_moeder;Aanvoer;Afvoer;UBN
NL;686547671;4767;12-02-2024;Zwartbont;M;NL;941142159;08-05-2024;;6259491
NL;620547709;4770;21-05-2024;Zwartbont;V;NL;590342391;09-08-2024;;6259491
BE;518034774;4774;14-05-2024;Zwartbont;M;BE;927092260;09-08-2024;;6259491
BE;318034775;4775;15-05-2024;Roodbont;M;BE;527092231;09-08-2024;;6259491
NL;707147802;4780;04-01-2024;Zwartbont;M;NL;671240758;11-04-2024;;6259491
BE;817734785;4785;03-01-2024;Zwart-wit;M;BE;823550040;11-04-2024;;6259491
BE;218094791;4791;10-02-2024;Rood-wit;M;BE;514946584;08-05-2024;;6259491
BE;517854791;4791;13-02-2024;Zwart-wit;M;BE;715034261;08-05-2024;;6259491
BE;317854792;4792;12-02-2024;Zwart-wit;M;BE;915034260;08-05-2024;;6259491
NL;620548137;4813;09-02-2024;Zwartbont;M;NL;918744319;08-05-2024;;6259491
NL;659748317;4831;13-02-2024;Zwartbont;M;NL;576947374;08-05-2024;;6259491
NL;625248340;4834;12-02-2024;Zwartbont;M;NL;964843732;08-05-2024;;6259491
NL;625248364;4836;15-02-2024;Zwartbont;M;NL;964842931;08-05-2024;;6259491
NL;581148386;4838;13-05-2024;Zwartbont;M;NL;664643748;16-08-2024;;6259491
NL;866348449;4844;15-05-2024;Roodbont;M;NL;944846223;16-08-2024;;6259491
NL;866348456;4845;17-05-2024;Zwartbont;M;NL;689390775;16-08-2024;;6259491
NL;590548487;4848;28-03-2024;Zwartbont;V;NL;928019513;24-06-2024;;6259491
NL;626548481;4848;13-02-2024;Zwartbont;M;NL;633142872;08-05-2024;;6259491
NL;722348482;4848;14-02-2024;Zwartbont;M;NL;710545329;08-05-2024;;6259491
NL;625248612;4861;11-05-2024;Zwartbont;M;NL;666340548;09-08-2024;;6259491
NL;625248629;4862;12-05-2024;Zwartbont;M;NL;661938115;09-08-2024;;6259491
NL;646448707;4870;18-05-2024;Roodbont;M;NL;665045046;09-08-2024;;6259491
NL;629848740;4874;14-02-2024;Zwartbont;M;NL;724744853;08-05-2024;;6259491
NL;629848757;4875;14-02-2024;Zwartbont;M;NL;634246555;08-05-2024;;6259491
NL;689148763;4876;12-02-2024;Zwartbont;M;NL;604940571;08-05-2024;;6259491
NL;722348761;4876;09-05-2024;Zwartbont;M;NL;699144478;09-08-2024;;6259491
BE;517944877;4877;29-03-2024;Zwartbont;M;BE;718390432;24-06-2024;;6259491
NL;689148770;4877;12-02-2024;Zwartbont;M;NL;699143848;08-05-2024;;6259491
BE;317944878;4878;29-03-2024;Zwartbont;M;BE;418150372;24-06-2024;;6259491
NL;625948781;4878;30-04-2024;Zwartbont;M;NL;668643362;09-08-2024;;6259491
NL;625948798;4879;01-05-2024;Zwartbont;M;NL;576947134;09-08-2024;;6259491
NL;625948806;4880;02-05-2024;Zwartbont;M;NL;576947350;09-08-2024;;6259491
NL;625948813;4881;09-05-2024;Zwartbont;M;NL;596547738;09-08-2024;;6259491
LU;818324891;4891;11-05-2024;Zwartbont;M;;;16-08-2024;;6259491
LU;618324892;4892;13-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;630449251;4925;19-03-2024;Zwartbont;M;NL;964845404;24-06-2024;;6259491
NL;748749322;4932;08-01-2024;Zwartbont;M;NL;755243639;11-04-2024;;6259491
LU;718314936;4936;14-05-2024;Zwartbont;M;;;09-08-2024;;6259491
NL;711349380;4938;08-01-2024;Zwartbont;M;NL;621507184;11-04-2024;;6259491
NL;689149449;4944;16-05-2024;Roodbont;M;NL;678746082;09-08-2024;;6259491
NL;687849523;4952;14-05-2024;Zwartbont;M;NL;625646195;09-08-2024;;6259491
BE;817884962;4962;02-04-2024;Zwartbont;M;BE;717334816;24-06-2024;;6259491
LU;718314967;4967;10-02-2024;Zwartbont;M;;;08-05-2024;;6259491
NL;888749688;4968;09-01-2024;Zwartbont;M;NL;622146166;11-04-2024;;6259491
